ردیف,نام,نام خانوادگی,کد ملی,نوع مقصد,شماره حساب یا شماره کارت,مبلغ واریزی (ریال),شماره پیگیری,تاریخ پرداخت,توضیحات
240,فرهاد,یوسفی,3120437417,شماره کارت,6037706729474037,15000000,TRX140500240,2026-06-26 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
241,فاطمه,قاسمی,1185174613,شماره کارت,6104335638718074,75000000,TRX140500241,2026-06-15 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
242,یاسر,سلیمانی,0551568844,شماره کارت,6104333398369568,40000000,TRX140500242,2026-06-02 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
243,روناک,اکبری,3927108197,شماره کارت,6393461670614631,5000000,TRX140500243,2026-06-24 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
244,دانیال,یوسفی,7471411007,شماره کارت,6393469029779575,100000000,TRX140500244,2026-06-24 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
245,دانیال,حسینی,5324910805,شماره کارت,6037704218333640,60000000,TRX140500245,2026-06-02 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
246,آرمان,کمالی,0818351047,شماره کارت,6219868263014023,50000000,TRX140500246,2026-06-05 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
247,رضا,نوری,3199890954,شماره کارت,6277602267704746,60000000,TRX140500247,2026-06-21 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
248,آرمان,صادقی,5117437381,شماره کارت,6277609153370573,60000000,TRX140500248,2026-06-09 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
249,مهدی,حاتمی,7050854441,شماره حساب,98215477226765,20000000,TRX140500249,2026-06-11 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
250,رضا,زارعی,6269422248,شماره کارت,5022292374466726,7500000,TRX140500250,2026-06-10 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
251,سعید,موسوی,3819712623,شماره حساب,2307269029027732,35000000,TRX140500251,2026-06-15 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
252,مهدی,اسماعیلی,3330136499,شماره حساب,36389139484828,40000000,TRX140500252,2026-06-06 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
253,سارا,عباسی,5288502412,شماره کارت,5022298480473076,60000000,TRX140500253,2026-06-18 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
254,لیلا,بهرامی,9390611164,شماره حساب,7546261954524396,7500000,TRX140500254,2026-06-14 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
255,سمیه,بهرامی,1497312841,شماره حساب,5894619141104203,30000000,TRX140500255,2026-06-11 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
256,بهاره,ابراهیمی,2235526901,شماره کارت,6279611233415996,80000000,TRX140500256,2026-06-05 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
257,زهرا,باقری,6428370654,شماره کارت,6037700379379893,30000000,TRX140500257,2026-06-15 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
258,سمیه,طاهری,1085789837,شماره کارت,6037990546039724,30000000,TRX140500258,2026-06-09 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
259,لیلا,مرادی,3221186711,شماره کارت,6277606471861770,100000000,TRX140500259,2026-06-07 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
260,رضا,کاظمی,2365365086,شماره کارت,5892103189939954,12000000,TRX140500260,2026-06-07 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
261,نرگس,زارعی,1040869653,شماره کارت,6279613346876718,50000000,TRX140500261,2026-06-15 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
262,نوید,حسینی,5762111237,شماره کارت,6393461295986497,35000000,TRX140500262,2026-06-22 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
263,نرگس,عباسی,1299806848,شماره کارت,5022294191725177,12000000,TRX140500263,2026-06-02 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
264,شادی,سلیمانی,6320484764,شماره حساب,48116236585403,80000000,TRX140500264,2026-06-24 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
265,علی,حسینی,6647954686,شماره کارت,6037700281747732,25000000,TRX140500265,2026-06-23 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
266,پرهام,فلاحی,9685303381,شماره کارت,6104330788321647,40000000,TRX140500266,2026-06-11 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
267,روناک,طاهری,0047563982,شماره کارت,6219868414111124,50000000,TRX140500267,2026-06-14 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
268,یاسر,کمالی,8045528575,شماره کارت,6277600974138828,7500000,TRX140500268,2026-06-23 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
269,روناک,موسوی,3467563805,شماره کارت,6037996912772343,15000000,TRX140500269,2026-06-11 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
270,شادی,بهشتی,4823700104,شماره کارت,6037998675909534,100000000,TRX140500270,2026-06-26 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
271,حامد,عباسی,9497509928,شماره حساب,9771000741222172,50000000,TRX140500271,2026-06-25 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
272,رضا,قاسمی,6591547673,شماره کارت,6277602427022898,7500000,TRX140500272,2026-06-13 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
273,لیلا,بهرامی,5878584603,شماره کارت,5022299570984287,25000000,TRX140500273,2026-06-10 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
274,روناک,جعفری,1957409053,شماره حساب,6461131309783665,75000000,TRX140500274,2026-06-04 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
275,علی,نجفی,2621624413,شماره حساب,07315330258534,50000000,TRX140500275,2026-06-01 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
276,الهام,ملکی,4182040813,شماره کارت,6393464687897587,75000000,TRX140500276,2026-06-23 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
277,فرهاد,معصومی,9216242574,شماره کارت,6037703705456377,75000000,TRX140500277,2026-06-23 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
278,سمیه,فلاحی,8321235141,شماره کارت,5022290480256981,80000000,TRX140500278,2026-06-27 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
279,امیر,حسینی,4020762341,شماره کارت,6037997112416749,40000000,TRX140500279,2026-06-10 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
280,رضا,کاظمی,3559780985,شماره کارت,6219864100192056,35000000,TRX140500280,2026-06-10 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
281,امیر,عباسی,6419461685,شماره کارت,6393463492842721,80000000,TRX140500281,2026-06-26 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
282,حامد,ملکی,7509703761,شماره کارت,6104336795159649,75000000,TRX140500282,2026-06-27 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
283,محمد,معصومی,5701646769,شماره حساب,53426772986516,20000000,TRX140500283,2026-06-10 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
284,آرمان,باقری,7329006769,شماره کارت,5022292237259714,5000000,TRX140500284,2026-06-06 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
285,سارا,اسماعیلی,0676218148,شماره کارت,6037707564244121,7500000,TRX140500285,2026-06-26 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
286,مریم,نجفی,8124706913,شماره کارت,6277609116786550,5000000,TRX140500286,2026-06-18 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
287,سارا,رضایی,6358268491,شماره کارت,5022290338662679,50000000,TRX140500287,2026-06-15 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
288,حامد,یوسفی,9068859978,شماره کارت,6219864387007654,25000000,TRX140500288,2026-06-28 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
289,محمد,جعفری,2329838999,شماره کارت,6277602016296879,7500000,TRX140500289,2026-06-11 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
290,علی,کریمی,7696475320,شماره کارت,6277600584702195,30000000,TRX140500290,2026-06-28 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
291,محمد,حسینی,3810594865,شماره حساب,94128228124059,100000000,TRX140500291,2026-06-07 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
292,مریم,باقری,3461908568,شماره کارت,6393465356582004,100000000,TRX140500292,2026-06-10 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
293,لیلا,ابراهیمی,2300767945,شماره کارت,5022296127907282,80000000,TRX140500293,2026-06-27 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
294,مریم,قاسمی,0307299341,شماره حساب,954950367322263817,20000000,TRX140500294,2026-06-26 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
295,لیلا,ابراهیمی,1858774608,شماره حساب,35927018891711,5000000,TRX140500295,2026-06-10 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
296,بهاره,حاتمی,5068586056,شماره حساب,626639441189614822,30000000,TRX140500296,2026-06-14 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
297,علی,حاتمی,8738387190,شماره کارت,6276480289233585,10000000,TRX140500297,2026-06-13 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
298,فاطمه,بهرامی,4238544749,شماره کارت,6037991383334152,50000000,TRX140500298,2026-06-03 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
299,پرهام,کمالی,4043749521,شماره حساب,760755553986899571,25000000,TRX140500299,2026-06-08 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
300,بهاره,زارعی,8316796521,شماره کارت,5892103677408413,5000000,TRX140500300,2026-06-12 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
301,سمیه,بهرامی,2171929650,شماره کارت,6277602593878545,25000000,TRX140500301,2026-06-18 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
302,کیان,قاسمی,1678149063,شماره کارت,6219867372734638,30000000,TRX140500302,2026-06-23 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
303,زهرا,زارعی,4402344379,شماره کارت,6279615406927299,15000000,TRX140500303,2026-06-24 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
304,روناک,نجفی,5391129567,شماره حساب,8500972192437790,7500000,TRX140500304,2026-06-15 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
305,حامد,بهرامی,1435169425,شماره حساب,1057726817375887,12000000,TRX140500305,2026-06-25 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
306,لیلا,رحیمی,3743089327,شماره کارت,6037997373818112,20000000,TRX140500306,2026-06-10 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
307,علی,حسینی,5254165715,شماره کارت,6037702819540498,80000000,TRX140500307,2026-06-01 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
308,حامد,ملکی,0412638592,شماره حساب,6240825254790397,5000000,TRX140500308,2026-06-11 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
309,روناک,کریمی,2909704017,شماره کارت,5022294942988991,40000000,TRX140500309,2026-06-19 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
310,فرهاد,کریمی,3020693276,شماره حساب,66617627496558,25000000,TRX140500310,2026-06-14 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
311,حامد,نوری,4091969534,شماره کارت,6277602445349307,10000000,TRX140500311,2026-06-19 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
312,لیلا,محمدی,2018670026,شماره کارت,6037993915990352,60000000,TRX140500312,2026-06-13 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
313,امیر,سلیمانی,4171317428,شماره کارت,6104336903922342,20000000,TRX140500313,2026-06-16 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
314,سینا,نجفی,9400945485,شماره کارت,6277600234801744,60000000,TRX140500314,2026-06-07 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
315,شادی,نوری,4768423507,شماره حساب,152914995376110066,10000000,TRX140500315,2026-06-06 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
316,دانیال,بهشتی,8121196302,شماره کارت,6276486303629112,7500000,TRX140500316,2026-06-26 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
317,سمیه,بهشتی,6972696011,شماره کارت,6276480394739278,40000000,TRX140500317,2026-06-24 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
318,نرگس,محمدی,3328975608,شماره کارت,6277609763239010,10000000,TRX140500318,2026-06-14 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
319,مریم,اسماعیلی,7430218581,شماره کارت,6393469811700102,15000000,TRX140500319,2026-06-11 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
320,پرهام,اسماعیلی,6891734037,شماره حساب,24099372181536,25000000,TRX140500320,2026-06-16 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
321,نگار,ابراهیمی,7189985824,شماره کارت,5022299780141108,12000000,TRX140500321,2026-06-08 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
322,کیان,زارعی,1558282394,شماره حساب,80777721232141,40000000,TRX140500322,2026-06-05 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
323,امیر,قاسمی,5152336499,شماره کارت,6393460225294071,25000000,TRX140500323,2026-06-16 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
324,امیر,فلاحی,3959462972,شماره حساب,516075587769712347,80000000,TRX140500324,2026-06-12 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
325,لیلا,صادقی,1844401243,شماره حساب,656391967664843604,15000000,TRX140500325,2026-06-09 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
326,مهدی,باقری,4951463131,شماره کارت,6037994304090721,35000000,TRX140500326,2026-06-11 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
327,نگار,طاهری,9714709636,شماره کارت,6393467549251802,75000000,TRX140500327,2026-06-28 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
328,سارا,حسینی,3347237021,شماره کارت,6393465923939034,60000000,TRX140500328,2026-06-07 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
329,سینا,بهرامی,9308052968,شماره حساب,04032818488507,80000000,TRX140500329,2026-06-18 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
330,نوید,بهشتی,2530619964,شماره کارت,6277608778542723,60000000,TRX140500330,2026-06-18 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
331,شادی,فلاحی,4834586601,شماره کارت,6279615680465107,25000000,TRX140500331,2026-06-04 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
332,سینا,اکبری,8494336096,شماره کارت,6279613066351520,7500000,TRX140500332,2026-06-02 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
333,مریم,ملکی,4045805435,شماره کارت,6037704210325958,80000000,TRX140500333,2026-06-20 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
334,نگار,موسوی,4745797850,شماره کارت,6037995626284470,10000000,TRX140500334,2026-06-23 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
335,سینا,اکبری,8005543883,شماره کارت,6279612249016828,35000000,TRX140500335,2026-06-15 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
336,مینا,معصومی,4441376944,شماره کارت,6104335129319622,50000000,TRX140500336,2026-06-26 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
337,روناک,نوری,8183494501,شماره کارت,5022295444136518,12000000,TRX140500337,2026-06-01 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
338,سمیه,فلاحی,9739724620,شماره کارت,5892103865203121,80000000,TRX140500338,2026-06-28 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
339,سینا,مرادی,4067410042,شماره کارت,5022293305225843,50000000,TRX140500339,2026-06-26 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
340,زهرا,یوسفی,5625519625,شماره کارت,5022290945099950,25000000,TRX140500340,2026-06-27 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
341,مهدی,اسماعیلی,1644030187,شماره کارت,6393468078003077,75000000,TRX140500341,2026-06-11 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
342,سمیه,صادقی,8985412043,شماره حساب,66077358482604,5000000,TRX140500342,2026-06-19 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
343,سارا,ابراهیمی,7798103201,شماره حساب,832234167508148106,50000000,TRX140500343,2026-06-07 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
344,علی,باقری,2849699586,شماره حساب,920202980476267418,30000000,TRX140500344,2026-06-01 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
345,فرهاد,قاسمی,0290344123,شماره کارت,6277607656644759,20000000,TRX140500345,2026-06-11 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
346,علی,ابراهیمی,6220835451,شماره کارت,6037997047419271,7500000,TRX140500346,2026-06-04 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
347,سینا,احمدی,3982157498,شماره حساب,98068698847861,60000000,TRX140500347,2026-06-27 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
348,پرهام,جعفری,0672868571,شماره حساب,8774782634374507,60000000,TRX140500348,2026-06-16 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
349,حسین,رضایی,3856565256,شماره حساب,540320463684653590,50000000,TRX140500349,2026-06-23 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
350,امیر,یوسفی,1870107391,شماره کارت,6277609897817533,80000000,TRX140500350,2026-06-17 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
351,آرمان,جعفری,0534469035,شماره کارت,5892104223172263,100000000,TRX140500351,2026-06-14 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
352,حامد,قاسمی,7634419168,شماره کارت,6037997858845622,5000000,TRX140500352,2026-06-05 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
353,علی,اکبری,8375397237,شماره کارت,6219864943298516,15000000,TRX140500353,2026-06-08 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
354,شادی,عباسی,8880688332,شماره کارت,6219865781485958,75000000,TRX140500354,2026-06-25 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
355,حامد,معصومی,9504246796,شماره کارت,6276484017722133,25000000,TRX140500355,2026-06-21 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
356,سارا,صادقی,2813491586,شماره کارت,6393467518046795,80000000,TRX140500356,2026-06-14 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
357,رضا,محمدی,6183793809,شماره کارت,6037700333596731,10000000,TRX140500357,2026-06-05 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
358,حسین,قاسمی,6250395921,شماره کارت,6279619735517128,50000000,TRX140500358,2026-06-09 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
359,محمد,طاهری,4397520674,شماره کارت,6037706458340920,5000000,TRX140500359,2026-06-12 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
360,روناک,معصومی,6863322293,شماره کارت,6393465644845312,10000000,TRX140500360,2026-06-28 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
361,شادی,ابراهیمی,8963581454,شماره کارت,6393468059778093,50000000,TRX140500361,2026-06-18 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
362,نگار,ملکی,3870898305,شماره حساب,023475981223556887,60000000,TRX140500362,2026-06-26 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
363,مریم,نجفی,2510048880,شماره کارت,6279613777079774,10000000,TRX140500363,2026-06-24 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
364,مریم,فلاحی,1474185843,شماره حساب,5939568197220056,25000000,TRX140500364,2026-06-08 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
365,بهاره,باقری,8409653125,شماره حساب,0690778031373420,7500000,TRX140500365,2026-06-12 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
366,سارا,رضایی,1486557201,شماره حساب,39264349301351,25000000,TRX140500366,2026-06-27 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
367,مریم,یوسفی,5788282306,شماره کارت,6276489976986546,75000000,TRX140500367,2026-06-23 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
368,لیلا,فلاحی,7494368655,شماره کارت,6037999768135995,7500000,TRX140500368,2026-06-25 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
369,لیلا,حسینی,9115026345,شماره کارت,6037701719115377,15000000,TRX140500369,2026-06-01 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
370,سمیه,احمدی,4394617189,شماره کارت,6219865863521027,40000000,TRX140500370,2026-06-05 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
371,فرهاد,حاتمی,8801059256,شماره حساب,0977283050921894,50000000,TRX140500371,2026-06-04 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
372,نگار,صادقی,8806171070,شماره حساب,128028339461868833,25000000,TRX140500372,2026-06-26 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
373,پرهام,محمدی,7756520858,شماره حساب,665775186660138823,75000000,TRX140500373,2026-06-25 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
374,پرهام,معصومی,8130463318,شماره حساب,0731234426989594,60000000,TRX140500374,2026-06-12 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
375,حسین,کمالی,5387446863,شماره کارت,6277604254331699,75000000,TRX140500375,2026-06-19 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
376,کیان,سلیمانی,7357793192,شماره کارت,6104339957610961,50000000,TRX140500376,2026-06-02 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
377,کیان,بهرامی,7207964757,شماره کارت,6037995259293392,7500000,TRX140500377,2026-06-20 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
378,الهام,رضایی,2379605394,شماره کارت,6219866104579436,30000000,TRX140500378,2026-06-11 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
379,پرهام,مرادی,1771002281,شماره حساب,76424722927337,40000000,TRX140500379,2026-06-16 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
380,مهدی,عباسی,6947882801,شماره حساب,6454330884996788,20000000,TRX140500380,2026-06-18 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
381,فاطمه,اکبری,6463140341,شماره کارت,6219864790188570,30000000,TRX140500381,2026-06-24 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
382,محمد,نجفی,1169391583,شماره کارت,6277601190784403,10000000,TRX140500382,2026-06-19 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
383,مینا,کمالی,8408943472,شماره کارت,6037709238283816,7500000,TRX140500383,2026-06-05 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
384,فرهاد,طاهری,6394110450,شماره کارت,6037999693750413,15000000,TRX140500384,2026-06-11 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
385,حسین,قاسمی,7171228029,شماره کارت,6277604293367456,50000000,TRX140500385,2026-06-04 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
386,بهاره,زارعی,2118944276,شماره کارت,6276484572500387,25000000,TRX140500386,2026-06-03 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
387,مینا,یوسفی,6739819513,شماره کارت,6037995539993852,10000000,TRX140500387,2026-06-25 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
388,سارا,ملکی,2075794741,شماره کارت,5022299927931866,20000000,TRX140500388,2026-06-11 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
389,رضا,موسوی,2813218529,شماره حساب,71167773678523,40000000,TRX140500389,2026-06-21 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
390,رضا,فلاحی,5615285281,شماره حساب,518114706655585188,75000000,TRX140500390,2026-06-27 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
391,حامد,موسوی,7615901553,شماره کارت,6104337446980813,30000000,TRX140500391,2026-06-06 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
392,یگانه,باقری,6398763203,شماره کارت,6104334172300795,25000000,TRX140500392,2026-06-23 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
393,زهرا,طاهری,9806934857,شماره حساب,0346481517315405,25000000,TRX140500393,2026-06-07 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
394,مریم,مرادی,1618205048,شماره کارت,6104337483132351,40000000,TRX140500394,2026-06-24 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
395,سینا,صادقی,2010495594,شماره کارت,5892109768779331,25000000,TRX140500395,2026-06-14 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
396,مینا,صادقی,5637096244,شماره کارت,5022290182921338,60000000,TRX140500396,2026-06-16 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
397,محمد,حاتمی,2943474010,شماره حساب,766056003194897763,40000000,TRX140500397,2026-06-23 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
398,سارا,سلیمانی,2605919439,شماره کارت,6276485149389808,35000000,TRX140500398,2026-06-02 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
399,سمیه,کریمی,7082343280,شماره کارت,6279610018544392,10000000,TRX140500399,2026-06-25 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
400,مینا,مرادی,4509220065,شماره حساب,030620973938395789,10000000,TRX140500400,2026-06-27 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
401,نرگس,یوسفی,4043376596,شماره حساب,575060880539130228,10000000,TRX140500401,2026-06-02 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
402,یاسر,بهشتی,3347449622,شماره حساب,5522100316777903,40000000,TRX140500402,2026-06-08 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
403,محمد,معصومی,7557021940,شماره کارت,6037993105406763,30000000,TRX140500403,2026-06-07 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
